file	loc	classification	has_db_markers	has_external_markers	has_inmemory_markers	has_fixture_markers
backend/app/services/calculator_definitions.py	12713	logic_or_orchestration	False	False	False	False
backend/app/services/clinical_calculators.py	4181	db_backed	True	False	False	False
backend/app/services/clinical_calculator_service.py	3034	logic_or_orchestration	False	False	False	False
backend/app/services/cpt_suggester.py	2329	db_backed	True	False	True	True
backend/app/services/note_generator.py	2324	db_backed	True	False	True	False
backend/app/services/quality_measures.py	2223	in_memory_or_fixture	False	False	True	False
backend/app/services/value_set_service.py	2178	db_backed	True	False	True	True
backend/app/services/nlp_entity/nlp_entity_extractors.py	1875	in_memory_or_fixture	False	False	True	True
backend/app/services/trial_eligibility_service.py	1863	db_backed	True	False	True	False
backend/app/services/etl_orchestrator.py	1829	db_plus_external	True	True	True	True
backend/app/services/fhir_terminology.py	1754	in_memory_or_fixture	False	False	False	True
backend/app/services/clinical_ontology_mapper.py	1718	db_backed	True	False	True	True
backend/app/services/fhir_import.py	1686	db_plus_external	True	True	True	False
backend/app/services/notification_service.py	1646	external_integration	False	True	True	False
backend/app/services/x12_service.py	1638	db_backed	True	False	True	False
backend/app/services/iac_service.py	1620	db_backed	True	False	False	True
backend/app/services/synthetic_data_service.py	1607	in_memory_or_fixture	False	False	True	False
backend/app/services/ai_coding_service.py	1604	in_memory_or_fixture	False	False	True	True
backend/app/services/federated_learning_service.py	1602	db_backed	True	False	True	False
backend/app/services/contract_lifecycle_service.py	1581	db_backed	True	False	False	False
backend/app/services/source_config_service.py	1569	db_plus_external	True	True	True	True
backend/app/services/clinical_monitoring_service.py	1548	db_backed	True	False	True	False
backend/app/services/risk_based_monitoring_service.py	1526	db_backed	True	False	True	False
backend/app/services/drug_interactions.py	1519	db_backed	True	False	False	True
backend/app/services/cohort_service.py	1517	in_memory_or_fixture	False	False	True	False
backend/app/services/medication_reconciliation.py	1517	db_backed	True	False	True	False
backend/app/services/trial_management_service.py	1506	db_backed	True	False	True	False
backend/app/services/clinical_ops_metrics_service.py	1505	db_backed	True	False	True	False
backend/app/services/privacy_impact_service.py	1494	in_memory_or_fixture	False	False	True	False
backend/app/services/study_closeout_service.py	1485	db_backed	True	False	True	False
backend/app/services/hitrust_service.py	1465	db_backed	True	False	True	False
backend/app/services/threat_intelligence_service.py	1463	db_backed	True	False	True	False
backend/app/services/safety_monitoring_service.py	1453	db_backed	True	False	True	False
backend/app/services/integration_roadmap_service.py	1420	logic_or_orchestration	False	False	False	False
backend/app/services/patient_timeline.py	1416	in_memory_or_fixture	False	False	True	False
backend/app/services/data_quality_service.py	1400	in_memory_or_fixture	False	False	True	False
backend/app/services/network_segmentation_service.py	1389	logic_or_orchestration	False	False	False	False
backend/app/services/enrollment_forecasting_service.py	1382	db_backed	True	False	True	False
backend/app/services/data_queries_service.py	1378	db_backed	True	False	True	False
backend/app/services/epro_service.py	1377	db_backed	True	False	True	False
backend/app/services/llm_finetuning_service.py	1377	in_memory_or_fixture	False	False	True	False
backend/app/services/cdisc_terminology_service.py	1371	in_memory_or_fixture	False	False	True	True
backend/app/services/rfp_service.py	1369	db_backed	True	False	False	False
backend/app/services/payment_reconciliation_service.py	1361	db_backed	True	False	True	False
backend/app/services/calculator_builder.py	1355	in_memory_or_fixture	False	False	True	False
backend/app/services/traceability_service.py	1347	db_backed	True	False	False	False
backend/app/services/econsent_service.py	1343	db_backed	True	False	True	False
backend/app/services/pharmacovigilance_service.py	1329	db_backed	True	False	True	False
backend/app/services/sae_reporting_service.py	1328	db_backed	True	False	True	False
backend/app/services/study_startup_service.py	1320	db_backed	True	False	True	True
backend/app/services/defect_tracking_service.py	1317	db_backed	True	False	True	False
backend/app/services/protocol_feasibility_service.py	1313	db_backed	True	False	True	False
backend/app/services/security_hardening_service.py	1303	db_backed	True	False	False	False
backend/app/services/dqd_check_service.py	1290	db_backed	True	False	False	False
backend/app/services/statistical_analysis_service.py	1288	db_backed	True	False	True	False
backend/app/services/clinical_data_management_service.py	1282	db_backed	True	False	True	False
backend/app/services/scalability_audit_service.py	1280	db_backed	True	False	False	False
backend/app/services/api_gateway_service.py	1275	db_backed	True	False	True	False
backend/app/services/business_continuity_service.py	1269	db_backed	True	False	True	False
backend/app/services/incident_response_service.py	1267	db_backed	True	False	True	False
backend/app/services/data_classification_service.py	1266	in_memory_or_fixture	False	False	True	False
backend/app/services/randomization_service.py	1254	db_backed	True	False	True	False
backend/app/services/safety_database_service.py	1249	db_backed	True	False	True	False
backend/app/services/tefca_service.py	1244	in_memory_or_fixture	False	False	True	False
backend/app/services/invoice_management_service.py	1229	in_memory_or_fixture	False	False	True	False
backend/app/services/cds_hooks_service.py	1224	in_memory_or_fixture	False	False	True	False
backend/app/services/regulatory_correspondence_service.py	1223	db_backed	True	False	True	False
backend/app/services/supply_forecasting_service.py	1222	db_backed	True	False	True	False
backend/app/services/deployment_verification_service.py	1220	db_backed	True	False	True	False
backend/app/services/data_lock_service.py	1215	db_backed	True	False	True	False
backend/app/services/x12_mapper.py	1210	in_memory_or_fixture	False	False	True	False
backend/app/services/soc2_service.py	1209	db_backed	True	False	True	False
backend/app/services/adverse_event_service.py	1201	db_backed	True	False	True	False
backend/app/services/training_management_service.py	1198	db_backed	True	False	True	False
backend/app/services/lab_certification_service.py	1192	db_backed	True	False	True	False
backend/app/services/coding_assistant_service.py	1188	db_backed	True	False	True	False
backend/app/services/inspection_readiness_service.py	1184	db_backed	True	False	True	False
backend/app/services/experiment_service.py	1182	in_memory_or_fixture	False	False	True	False
backend/app/services/differential_diagnosis.py	1177	in_memory_or_fixture	False	False	True	False
backend/app/services/drug_safety.py	1169	in_memory_or_fixture	False	False	True	True
backend/app/services/budget_management_service.py	1168	db_backed	True	False	False	False
backend/app/services/ip_accountability_service.py	1168	db_backed	True	False	True	False
backend/app/services/regulatory_intelligence_service.py	1166	db_backed	True	False	True	False
backend/app/services/change_control_service.py	1164	db_backed	True	False	True	False
backend/app/services/site_payments_service.py	1163	db_backed	True	False	True	False
backend/app/services/medical_monitor_service.py	1157	db_backed	True	False	True	False
backend/app/services/icd10_suggester.py	1149	in_memory_or_fixture	False	False	True	True
backend/app/services/ancillary_study_service.py	1147	db_backed	True	False	True	False
backend/app/services/biomarker_analysis_service.py	1141	db_backed	True	False	True	False
backend/app/services/user_analytics_service.py	1137	db_backed	True	False	True	False
backend/app/services/patient_stipend_service.py	1130	db_backed	True	False	True	False
backend/app/services/trial_insurance_service.py	1129	db_backed	True	False	True	False
backend/app/services/kg_prometheus_metrics.py	1110	in_memory_or_fixture	False	False	True	False
backend/app/services/dsmb_management_service.py	1106	db_backed	True	False	True	False
backend/app/services/central_laboratory_service.py	1104	db_backed	True	False	True	False
